"staID","NWS_sid","var","obs_time","value","random"
"156011EA","HNPH1","PC","2024-06-24 00:00",0,"  "
"156011EA","HNPH1","PC","2024-06-24 00:15",0,"  "
"156011EA","HNPH1","PC","2024-06-24 00:30",0,"  "
"156011EA","HNPH1","PC","2024-06-24 00:45",0,"  "
"156011EA","HNPH1","PC","2024-06-24 01:00",0,"  "
"156011EA","HNPH1","PC","2024-06-24 01:15",0,"  "
"156011EA","HNPH1","PC","2024-06-24 01:30",0,"  "
"156011EA","HNPH1","PC","2024-06-24 01:45",0,"  "
"156011EA","HNPH1","PC","2024-06-24 02:00",0,"  "
"156011EA","HNPH1","PC","2024-06-24 02:15",0,"  "
"156011EA","HNPH1","PC","2024-06-24 02:30",0,"  "
"156011EA","HNPH1","PC","2024-06-24 02:45",0,"  "
"156011EA","HNPH1","PC","2024-06-24 03:00",0,"  "
"156011EA","HNPH1","PC","2024-06-24 03:15",0,"  "
"156011EA","HNPH1","PC","2024-06-24 03:30",0,"  "
"156011EA","HNPH1","PC","2024-06-24 03:45",0,"  "
"156011EA","HNPH1","PC","2024-06-24 04:00",0,"  "
"156011EA","HNPH1","PC","2024-06-24 17:15",NA,"  "
"156011EA","HNPH1","PC","2024-06-24 17:30",NA,"  "
"156011EA","HNPH1","PC","2024-06-24 17:45",NA,"  "
"156011EA","HNPH1","PC","2024-06-24 18:00",NA,"  "
"156011EA","HNPH1","PC","2024-06-24 18:15",0,"  "
"156011EA","HNPH1","PC","2024-06-24 18:30",0,"  "
"156011EA","HNPH1","PC","2024-06-24 18:45",0,"  "
"156011EA","HNPH1","PC","2024-06-24 19:00",0,"  "
"156011EA","HNPH1","PC","2024-06-24 19:15",0,"  "
"156011EA","HNPH1","PC","2024-06-24 19:30",0,"  "
"156011EA","HNPH1","PC","2024-06-24 19:45",0,"  "
"156011EA","HNPH1","PC","2024-06-24 20:00",0,"  "
"156011EA","HNPH1","PC","2024-06-24 20:15",0,"  "
"156011EA","HNPH1","PC","2024-06-24 20:30",0,"  "
"156011EA","HNPH1","PC","2024-06-24 20:45",0,"  "
"156011EA","HNPH1","PC","2024-06-24 21:00",0,"  "
"156011EA","HNPH1","PC","2024-06-25 17:15",NA,"  "
"156011EA","HNPH1","PC","2024-06-25 17:30",NA,"  "
"156011EA","HNPH1","PC","2024-06-25 17:45",NA,"  "
"156011EA","HNPH1","PC","2024-06-25 18:00",0,"  "
"156011EA","HNPH1","PC","2024-06-25 18:15",0,"  "
"156011EA","HNPH1","PC","2024-06-25 18:30",0,"  "
"156011EA","HNPH1","PC","2024-06-25 18:45",0,"  "
"156011EA","HNPH1","PC","2024-06-25 19:00",0,"  "
"156011EA","HNPH1","PC","2024-06-25 19:15",0,"  "
"156011EA","HNPH1","PC","2024-06-25 19:30",0,"  "
"156011EA","HNPH1","PC","2024-06-25 19:45",0,"  "
"156011EA","HNPH1","PC","2024-06-25 20:00",0,"  "
"156011EA","HNPH1","PC","2024-06-25 20:15",0,"  "
"156011EA","HNPH1","PC","2024-06-25 20:30",0,"  "
"156011EA","HNPH1","PC","2024-06-25 20:45",0,"  "
"156011EA","HNPH1","PC","2024-06-25 21:00",0,"  "
"156011EA","HNPH1","PC","2024-06-25 21:15",0,"  "
"156011EA","HNPH1","PC","2024-06-25 21:30",0,"  "
"156011EA","HNPH1","PC","2024-06-25 21:45",0,"  "
"156011EA","HNPH1","PC","2024-06-25 22:00",0,"  "
"156011EA","HNPH1","PC","2024-06-25 22:15",0,"  "
"156011EA","HNPH1","PC","2024-06-25 22:30",0,"  "
"156011EA","HNPH1","PC","2024-06-25 22:45",0,"  "
"156011EA","HNPH1","PC","2024-06-25 23:00",0,"  "
"156011EA","HNPH1","PC","2024-06-25 23:15",0,"  "
"156011EA","HNPH1","PC","2024-06-25 23:30",0,"  "
"156011EA","HNPH1","PC","2024-06-25 23:45",0,"  "
